name,commit,date,num_files,total_bytes,loc,ci_gzip
openssh,35a2cb9b41c2,2002-07-04T00:05:06+00:00,243,2170880,52001,0.19712973540683962
openssh,86a396857d40,2004-01-21T11:00:04+11:00,242,2355200,57681,0.19923106317934783
openssh,329cb016386a,2005-12-24T14:53:23+11:00,247,2519040,62972,0.20459103467987805
openssh,d654dd27b577,2008-05-19T16:05:41+10:00,263,2764800,69332,0.2056441695601852
openssh,966accc53317,2011-01-22T20:23:10+11:00,289,3256320,83129,0.20769826061320754
openssh,996ea80b1884,2014-01-30T12:49:55+11:00,328,3676160,93457,0.20856709174791085
openssh,d7d2bc95045a,2016-01-07T20:13:31+11:00,351,4003840,102510,0.2053593550191816
openssh,fbfa6f980d74,2018-02-11T21:24:48+11:00,344,3901440,99488,0.2051891096620735
openssh,d561b0b2fa25,2019-10-28T16:27:53+11:00,346,4208640,108549,0.20604732170012166
openssh,e26c980778b2,2021-01-26T22:50:40+11:00,359,4454400,116160,0.20758194145114942
openssh,0ff886be1322,2022-07-25T11:05:27+10:00,361,4608000,120597,0.2072439236111111
openssh,cc048ca536d6,2024-08-20T13:50:15+10:00,363,4925440,125416,0.20854177494802495
