repo,full_name,primary_language,candidate_events,usable_snapshots,selected_for_panel
curl,curl/curl,C,154,5,1
php-src,php/php-src,C,86,5,1
django-django,django/django,Python,81,5,1
openssl,openssl/openssl,C,46,5,1
redis,redis/redis,C,45,5,1
sqlite,sqlite/sqlite,C,12,5,1
git,git/git,C,11,5,1
openssh,openssh/openssh-portable,C,11,5,1
traefik-traefik,traefik/traefik,Go,8,5,1
jq,jqlang/jq,C,7,5,1
zlib,madler/zlib,C,7,4,1
go-gitea-gitea,go-gitea/gitea,Go,5,5,1
gin-gonic-gin,gin-gonic/gin,Go,4,5,1
psf-requests,psf/requests,Python,4,5,1
pallets-flask,pallets/flask,Python,3,5,1
nginx,nginx/nginx,C,2,5,0
libsodium,jedisct1/libsodium,C,2,5,0
scrapy-scrapy,scrapy/scrapy,Python,2,5,0
fastapi-fastapi,fastapi/fastapi,Python,2,5,0
libxml2,GNOME/libxml2,C,1,5,0
prometheus-prometheus,prometheus/prometheus,Go,1,5,0
caddyserver-caddy,caddyserver/caddy,Go,0,5,0
spring-projects-spring-framework,spring-projects/spring-framework,Java,0,5,0
