repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-11168,django-django:4.2.4:CVE-2024-11168,2024-12-03T08:50:11+00:00,fixed_commit_epoch,explicit_id,CVE-2024-11168,f663277a4c22ef96cbdebfd0ed76155b9d37b4f8,[4.2.x] Refs CVE-2024-11168 -- Updated vendored _urlsplit() to properly validate IPv6 and IPvFuture addresses.,django/utils/http.py,django/utils/functional.py,1,django/utils/http.py,,
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-41989,django-django:4.2.4:CVE-2024-41989,2024-08-07T15:15:56+00:00,osv_published,explicit_id+osv_range,BIT-DJANGO-2024-41989;CVE-2024-41989;GHSA-JH75-99HH-QVX9;PYSEC-2024-67,fc76660f589ac07e45e9cd34ccb8087aeb11904b,[4.2.x] Fixed CVE-2024-41989 -- Prevented excessive memory consumption in floatformat.,django/template/defaultfilters.py,django/http/multipartparser.py,1,django/template/defaultfilters.py,,
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-41990,django-django:4.2.4:CVE-2024-41990,2024-08-07T15:15:56+00:00,osv_published,explicit_id+osv_range,BIT-DJANGO-2024-41990;CVE-2024-41990;GHSA-795C-9XPC-XW6G;PYSEC-2024-68,d0a82e26a74940bf0c78204933c3bdd6a283eb88,[4.2.x] Fixed CVE-2024-41990 -- Mitigated potential DoS in urlize and urlizetrunc template filters.,django/utils/html.py,django/utils/text.py,1,django/utils/html.py,,
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-41991,django-django:4.2.4:CVE-2024-41991,2024-08-07T15:15:56+00:00,osv_published,explicit_id+osv_range,BIT-DJANGO-2024-41991;CVE-2024-41991;GHSA-R836-HH6V-RG5G;PYSEC-2024-69,efea1ef7e2190e3f77ca0651b5458297bc0f6a9f,[4.2.x] Fixed CVE-2024-41991 -- Prevented potential ReDoS in django.utils.html.urlize() and AdminURLFieldWidget.,django/contrib/admin/widgets.py,django/db/migrations/executor.py,2,django/contrib/admin/widgets.py;django/utils/html.py,,
django-django,4.2.4,2023-08-01T16:59:48+00:00,CVE-2024-42005,django-django:4.2.4:CVE-2024-42005,2024-08-07T15:15:56+00:00,osv_published,explicit_id+osv_range,BIT-DJANGO-2024-42005;CVE-2024-42005;GHSA-PV4P-CWWG-4RPH;PYSEC-2024-70,f4af67b9b41e0f4c117a8741da3abbd1c869ab28,[4.2.x] Fixed CVE-2024-42005 -- Mitigated QuerySet.values() SQL injection attacks against JSON fields.,django/db/models/sql/query.py,django/db/models/fields/__init__.py,1,django/db/models/sql/query.py,,
jq,jq-1.7rc1,2023-07-30T02:28:38+00:00,CVE-2023-50246,jq:jq-1.7rc1:CVE-2023-50246,2023-12-13T20:43:50+00:00,nvd_published+osv_published,explicit_id+nvd_ref+osv_range+osv_ref,CVE-2023-50246;GHSA-686W-5M7M-54VC,71c2ab509a8628dbbad4bc7b3f98a64aa90d3297,Merge pull request from GHSA-686w-5m7m-54vc,src/jv.c,src/compile.c,1,src/jv.c,,
jq,jq-1.7rc1,2023-07-30T02:28:38+00:00,CVE-2024-23337,jq:jq-1.7rc1:CVE-2024-23337,2025-05-21T14:34:51+00:00,nvd_published+osv_published,explicit_id+nvd_ref+osv_range+osv_ref,CVE-2024-23337;GHSA-2Q6R-344G-CX46,de21386681c0df0104a99d9d09db23a9b2a78b1e,Fix signed integer overflow in jvp_array_write and jvp_object_rehash,src/jv_aux.c,src/jv_parse.c,2,src/jv.c;src/jv_aux.c,,
jq,jq-1.7rc1,2023-07-30T02:28:38+00:00,CVE-2025-49014,jq:jq-1.7rc1:CVE-2025-49014,2025-06-19T15:08:04+00:00,osv_published,explicit_id+osv_range+osv_ref,CVE-2025-49014;GHSA-RMJP-CR27-WPG2,499c91bca9d4d027833bc62787d1bb075c03680e,Fixes CVE-2025-49014 which was introduced in 1.8.0,src/builtin.c,src/lexer.c,1,src/builtin.c,,
jq,jq-1.7rc1,2023-07-30T02:28:38+00:00,GHSA-F946-J5J2-4W5M,jq:jq-1.7rc1:GHSA-F946-J5J2-4W5M,2025-06-24T13:39:40+00:00,fixed_commit_epoch,explicit_id,GHSA-F946-J5J2-4W5M,5e159b34b179417e3e0404108190a2ac7d65611c,Fix GHSA-f946-j5j2-4w5m stack-overflow by limit regex parse depth,src/main.c,src/execute.c,1,src/main.c,,
jq,jq-1.7rc1,2023-07-30T02:28:38+00:00,OSV-2024-330,jq:jq-1.7rc1:OSV-2024-330,2024-04-30T00:00:31+00:00,osv_published,osv_range,OSV-2024-330,6ce6e7c71355a0b6006e9e3371364f6945da5a29,chore: fix some typos in comments (#3096),src/decNumber/decBasic.c,src/decNumber/decCommon.c,3,src/decNumber/decBasic.c;src/decNumber/decNumber.c;src/util.c,,
psf-requests,v2.28.2,2023-01-12T16:16:09+00:00,CVE-2023-32681,psf-requests:v2.28.2:CVE-2023-32681,2023-05-26T17:02:52+00:00,osv_published,explicit_id+osv_range+osv_ref,CVE-2023-32681;GHSA-J8R2-6X86-Q33Q;PYSEC-2023-74,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,Merge pull request from GHSA-j8r2-6x86-q33q,requests/sessions.py,requests/utils.py,1,requests/sessions.py,,
traefik-traefik,v2.10.6,2023-11-28T14:46:10+00:00,CVE-2024-28869,traefik-traefik:v2.10.6:CVE-2024-28869,2024-04-12T21:08:36+00:00,osv_published,osv_range+osv_ref,CVE-2024-28869;GHSA-4VWX-54MW-VQFW;GO-2024-2722,240b83b77351dfd8cadb91c305b84e9d22e0f9c6,Set default ReadTimeout value to 60s,pkg/config/static/static_config.go,pkg/provider/consulcatalog/consul_catalog.go,1,pkg/config/static/static_config.go,,
traefik-traefik,v2.10.6,2023-11-28T14:46:10+00:00,CVE-2025-47952,traefik-traefik:v2.10.6:CVE-2025-47952,2025-05-30T03:37:12+00:00,osv_published,osv_range+osv_ref,CVE-2025-47952;GHSA-VRCH-868G-9JX5;GO-2025-3719,08d5dfee0164aa54dd44a467870042e18e8d3f00,Normalize request path,integration/simple_test.go,integration/https_test.go,4,integration/simple_test.go;pkg/muxer/http/mux.go;pkg/server/server_entrypoint_tcp.go;pkg/server/server_entrypoint_tcp_test.go,,
traefik-traefik,v2.10.6,2023-11-28T14:46:10+00:00,CVE-2025-54386,traefik-traefik:v2.10.6:CVE-2025-54386,2025-08-01T23:32:21+00:00,osv_published,osv_range+osv_ref,CVE-2025-54386;GHSA-Q6GG-9F92-R9WG;GO-2025-3835,5ef853a0c53068f69a6c229a5815a0dc6e0a8800,Fix client arbitrary file access during archive extraction zipslip,pkg/plugins/client.go,pkg/metrics/influxdb.go,1,pkg/plugins/client.go,,
zlib,v1.3,2023-08-18T08:45:36+00:00,CVE-2014-9485,zlib:v1.3:CVE-2014-9485,2024-01-17T23:08:08+00:00,fixed_commit_epoch,explicit_id,CVE-2014-9485,14a5f8f266c16c87ab6c086fc52b770b27701e01,Neutralize zip file traversal attacks in miniunz.,contrib/minizip/miniunz.c,contrib/blast/blast.c,1,contrib/minizip/miniunz.c,,
zlib,v1.3,2023-08-18T08:45:36+00:00,CVE-2023-45853,zlib:v1.3:CVE-2023-45853,2023-10-14T02:15:09+00:00,osv_published,osv_range,CVE-2023-45853;GHSA-MQ29-J5XF-CJWR,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,zlib 1.3.1,contrib/infback9/inftree9.c,contrib/minizip/iowin32.c,10,contrib/infback9/inftree9.c;deflate.c;deflate.h;gzguts.h;gzlib.c;inftrees.c;trees.c;zconf.h;zlib.h;zutil.h,,
